center_x,center_y,Thumb_status,Index_status,Middle_status,Ring_status,Pinky_status,DistanceThumbIndex,DistanceThumbMiddle,DistanceThumbRing,DistanceThumbPinky,DistanceIndexMiddle,DistanceIndexRing,DistanceIndexPinky,DistanceMiddleRing,DistanceMiddlePinky,DistanceRingPinky,Gesture_type
375,221,0,1,0,0,0,76.1642960973185,38.1182371050918,45.0444225182208,45.0111097397076,84.7230783199005,89.3084542470644,90.1387818865997,7.07106781186548,7.28010988928052,1,volume
372,221,0,1,0,0,0,80.0249960949702,40.0124980474851,48,50,89.4706655837543,94.339811320566,95.4148835350125,8.06225774829855,10.0498756211209,2,volume
372,219,0,1,0,0,0,87.0229854693575,37.8549864614954,48.3735464897913,51.1566222497147,86.4060183089118,93.150415994777,96.3846460801719,11.180339887499,14.560219778561,3.60555127546399,volume
371,218,0,1,0,0,0,90.0055553840984,32.5576411921994,45.1774279923061,49.0917508345343,89.5377015563835,96.6022774058666,99.3629709700752,13.1529464379659,17.2626765016321,4.12310562561766,volume
372,217,0,1,0,0,0,92.0489000477464,36.1386219991853,45.3982378512647,49.1629942131274,88.9550448260244,95.7078889120432,99.2975326984513,10.4403065089106,14.8660687473185,4.47213595499958,volume
369,224,0,1,0,0,0,69.0072459963445,44.0113621693308,50.1597448159378,49.3659801887899,83.2165848854662,89.0505474435727,90.1387818865997,6.70820393249937,7.07106781186548,2.23606797749979,volume
368,235,0,1,0,0,0,42.9534631898291,47.5184174820669,53.1507290636733,52.1727898429823,74.4110206891426,80.8084154033477,80.0562302385017,6.40312423743285,5.65685424949238,1,volume
365,240,0,0,0,0,0,25.6320112359526,49.254441424099,55.3172667437573,54.9181208709839,64.8459713474939,72.5603197346869,71.5891053163818,8.60232526704263,7.07106781186548,2,volume
358,245,0,0,0,0,0,12.5299640861417,41.9761837236307,50.9607692249636,50.6951674225463,54.1202365109392,63.2455532033676,62.9364759102383,9.4339811320566,8.94427190999916,1,volume
347,253,0,0,0,0,0,10.816653826392,44.9110231457712,51.662365412358,54.571054598569,55.0817574156816,61.9838688692469,64.8459713474939,7.21110255092798,9.8488578017961,3,volume
336,269,0,0,0,0,0,9.21954445729289,43.6806593356831,49.6487663492256,54.1202365109392,51.6236379965612,57.7754273026172,62.0322496770833,6.40312423743285,10.4403065089106,5.09901951359278,volume
312,287,0,0,0,0,0,7,48.6621002423858,56.0446250768082,63.2455532033676,50.2891638427206,58.309518948453,65.7951365983839,9.21954445729289,16.9705627484771,7.81024967590665,volume
307,304,0,0,0,0,0,9.8488578017961,44.407206622349,51.662365412358,60.0832755431992,50.2891638427206,58.309518948453,67.1192967781993,9.21954445729289,18.3847763108502,9.21954445729289,volume
312,320,0,0,0,0,0,8.06225774829855,45.1774279923061,51.9711458407451,59.9082632030006,47.5394572960189,55.0272659687904,63.3245607959503,8.48528137423857,17.0293863659264,8.60232526704263,volume
313,325,0,0,0,0,0,11.4017542509914,47.0956473572665,52.9528091794949,61.6116872029975,51.9230199429887,58.8727441181401,67.7790528113222,8.60232526704263,17.0293863659264,8.94427190999916,volume
310,326,0,0,0,0,0,10.0498756211209,48.2597140480546,54.817880294663,62.3618473106755,51.2445119012758,59.0931468107766,66.7083203206317,10.295630140987,16.9705627484771,7.61577310586391,volume
312,326,0,0,0,0,0,19.2353840616713,50.0099990002,56.8858506133116,63.7887137352683,56.6480361530742,65.7419196555744,73.3552997403732,10.816653826392,18.4390889145858,7.81024967590665,volume
306,324,0,0,0,0,0,36.0138862107382,50.0899191454728,58.0517010948,65.9696900098826,64.2028036770981,74.6525284233562,83.240615086627,10.6301458127347,19.1049731745428,8.60232526704263,volume
301,317,0,1,0,0,0,51.1566222497147,51.2445119012758,60.6382717431821,68.6804193347711,73.109506905737,85.146931829632,93.5093578204877,12.0415945787923,20.5182845286832,8.60232526704263,volume
301,316,0,1,0,0,0,61.5223536610881,51.0881590977792,61.1310068623117,71.7007670809734,72.2011080247388,83.868945385047,94.9210198006743,12.2065556157337,23.8537208837531,11.6619037896906,volume
302,314,0,1,0,0,0,68.0661443009665,53.1507290636733,63.1268564083465,72.5603197346869,75.1664818918645,87.4185335040574,96.8297474952816,12.8062484748657,23.0217288664427,10.295630140987,volume
